;NUM_ART;variable;value;QTE_VTE;Standard_CPQ;score;score_cum;flag_alerte;flag_inv;flag_stk;score_cum_before;flag_inv_before;flag_inv_3weeks;flag_stk_cpq;valueStockSuspect;flag_match_vekia
83;66345713;2020-02-14;0.0;0.0;2.0;0.0;0.0049525;1;;;0.0049525;;;;;
84;70817236;2020-02-14;0.0;0.0;2.0;0.0;0.0049525;1;;;0.0049525;;;;;
85;70245224;2020-02-14;0.0;0.0;2.0;0.0;0.0049525;1;;;0.0049525;;;;;
86;66765181;2020-02-14;0.0;0.0;2.0;0.0;0.0050166666666666675;1;;;0.0050166666666666675;;;;;
87;70862176;2020-02-14;0.0003;0.0;1.0;0.0003;0.005113333333333333;1;;;0.004813333333333333;;;;;
88;80129061;2020-02-14;0.0;0.0;2.0;0.0;0.005192500000000001;1;;;0.005192500000000001;;;;;
89;80039813;2020-02-14;0.0;0.0;2.0;0.0;0.0052208333333333325;1;;;0.0052208333333333325;;;;;
90;80039561;2020-02-14;0.0;0.0;2.0;0.0;0.0052208333333333325;1;;;0.0052208333333333325;;;;;
91;80039575;2020-02-14;0.0;0.0;2.0;0.0;0.0052208333333333325;1;;;0.0052208333333333325;;;;;
92;80039372;2020-02-14;0.0;0.0;2.0;0.0;0.0052208333333333325;1;;;0.0052208333333333325;;;;;
93;80128612;2020-02-14;0.0007149999999999999;0.0;2.0;0.00035749999999999996;0.005283333333333333;1;;;0.004925833333333332;;;;;
94;80180321;2020-02-14;0.0;0.0;6.0;0.0;0.00540138888888889;1;;;0.00540138888888889;;;;;
95;69958574;2020-02-14;0.0;0.0;2.0;0.0;0.0054875;1;;;0.0054875;;;;;
96;67994913;2020-02-14;0.0021659;0.0;6.0;0.00036098333333333337;0.005537883333333333;1;;;0.005176899999999999;;;;;
97;69912661;2020-02-14;0.0011406;0.0;4.0;0.00028515;0.005555349999999999;1;;;0.005270199999999999;;;;;
98;70210840;2020-02-14;0.012245;0.0;22.0;0.0005565909090909091;0.005597348484848487;1;;;0.005040757575757578;;;;;
99;73914435;2020-02-14;0.0;0.0;3.0;0.0;0.005598333333333333;1;;;0.005598333333333333;;;;;
100;66459631;2020-02-14;0.0;0.0;3.0;0.0;0.005602222222222222;1;;;0.005602222222222222;;;;;
101;65735831;2020-02-14;0.0;0.0;2.0;0.0;0.005606666666666667;1;;;0.005606666666666667;;;;;
102;70658301;2020-02-14;0.0;0.0;2.0;0.0;0.005819166666666665;1;;;0.005819166666666665;;;;;
103;65559060;2020-02-14;0.0;0.0;2.0;0.0;0.005922499999999999;1;;;0.005922499999999999;;;;;
104;69658456;2020-02-14;0.524245;0.0;2.0;0.2621225;0.00596833333333302;1;;;-0.25615416666666696;;;;;
105;69509034;2020-02-14;0.0;0.0;2.0;0.0;0.006025833333333333;1;;;0.006025833333333333;;;;;
106;68401781;2020-02-14;0.0;0.0;2.0;0.0;0.006025833333333333;1;;;0.006025833333333333;;;;;
107;81988600;2020-02-14;0.0;0.0;2.0;0.0;0.006044166666666666;1;;;0.006044166666666666;;;;;
108;71139201;2020-02-14;0.0;0.0;4.0;0.0;0.006145416666666667;1;;;0.006145416666666667;;;;;
109;70612843;2020-02-14;0.0;0.0;2.0;0.0;0.006320000000000003;1;;;0.006320000000000003;;;;;
110;62154302;2020-02-14;0.00929;0.0;25.0;0.0003716;0.006402800000000002;1;;;0.006031200000000002;;;;;
111;68535705;2020-02-14;0.0;0.0;4.0;0.0;0.006404166666666666;1;;;0.006404166666666666;;;;;
112;80112900;2020-02-14;0.0;0.0;2.0;0.0;0.00647;1;;;0.00647;;;;;
113;80120000;2020-02-14;0.0;0.0;2.0;0.0;0.00647;1;;;0.00647;;;;;
114;80044076;2020-02-14;0.0;0.0;2.0;0.0;0.006585000000000001;1;;;0.006585000000000001;;;;;
115;75231884;2020-02-14;0.0;0.0;2.0;0.0;0.0067125;1;;;0.0067125;;;;;
116;73380076;2020-02-14;0.0;0.0;2.0;0.0;0.0067125;1;;;0.0067125;;;;;
